S.No,WARD,CATEGORY,ADDRESS,ADDRESS/ LANDMARK,GPS DEVICE ID,GPS WAY POINT ID,LATITUDE,LONGITUDE,SURVEYOR,ALLOCATION DATE,SURVEY DATE,DATA ENTRY DATE,ZONE,REASON
121,8,NNMP shed,BHARATHI NAGAR,petral bank thiruvetriyur,21,8,13.170499,80.303505,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
118,8,Anganwadis,SP KOIL STREET,t.h road periyar nagar.tvt,21,9,13.166744,80.302876,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
124,8,NNMP shed,SP KOIL STREET,t.h road periyar nagar.tvt,21,10,13.166671,80.302877,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
119,8,Anganwadis,VILLAGE STREET,t.h road market opp,21,11,13.165138,80.300739,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
128,9,Anganwadis,Thulukanam street ,Thulukanam street ,21,12,13.162486,80.302652,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
132,9,NNMP shed,Thulukanam street ,Thulukanam street ,21,13,13.162533,80.302692,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
125,8,NNMP shed,VILLAGE STREET,"opp market t.h road mtm school ,tvt",21,14,13.162862,80.302584,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
137,10,Anganwadis,NORTH MADA STREET,vadivudiamman kovil street,21,15,13.16199,80.300251,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
145,10,NNMP shed,NORTH MADA STREET,vadivudiamman kovil street,21,16,13.161985,80.300326,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
136,10,Amma canteen,North mada street,vadivudiamman kovil street,21,17,13.161983,80.300119,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
141,10,Burial ground,EAST TANK ST,vadivudiamman kovil street,21,18,13.161341,80.300734,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
144,10,Middle school,SANNATHI ST,vadivudiamman kovil street,21,19,13.160868,80.300764,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
139,10,Anganwadis,WEST MADA STREET,vadivudiamman kovil street,21,20,13.160147,80.29858,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
147,10,NNMP shed,WEST MADA STREET,west matha street tvt,21,21,13.160188,80.298589,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
140,10,Anganwadis,WEST MADA STREET,vadivudiamman kovil street,21,22,13.160157,80.298546,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
148,10,NNMP shed,WEST MADA STREET,narth railway station tvt,21,23,13.16012,80.298681,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
138,10,Anganwadis,POONTHAM STREET,inside poonthottam school.tvt,21,24,13.160033,80.300736,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
146,10,NNMP shed,POONTHAM STREET,inside poonthottam school.tvt,21,25,13.159998,80.300881,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
149,10,Playgrounds,POONTHAM STREET ,poonthottam school inside.tvt,21,27,13.159809,80.300912,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
135,9,Shopping complex,THIRUVOTTOYUR HIGH ROAD,near bus stop .thearadi tvt,21,28,13.159953,80.302441,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
130,9,Burial ground,THIRUVOTTIYUR KUPPAM ROAD,Ennure exp. Road thirvetriyur,21,29,13.16171,80.306467,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
127,9,Anganwadis,Thiruvotriyur kuppam road ,Thiruvotriyur kuppam road ,21,30,13.162595,80.306669,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
134,9,Primary school,Thiruvuttriyur kuppam road ,t.h road near beach road,21,31,13.161973,80.307894,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
131,9,NNMP shed,Thiruvotriyur kuppam road ,Ennure exp. Road thirvetriyur,21,32,13.161969,80.307944,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
126,9,Amma canteen,Pattinathar koil street,market thiruvetriyur,21,33,13.163128,80.304221,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,
129,9,Anganwadis,Village street ,Ennure exp. Road thirvetriyur,21,NIL,,,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,nil in way point
133,9,NNMP shed,Village street ,nil,21,NIL,,,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,nil in way point
142,10,Dispensary,T.H.Road,nil,21,NIL,,,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,nil in way point
143,10,Health post,TH Road,nil,21,NIL,,,Vengadesan,23/01/2015,23/01/2015,27/01/2015,1,nil in way point
